ليلة ظلماء فيها مطر~90#4257#169#263
ليلة على أوقية واحدة~90#4054#116#60
ليلة على الحرام فحرش~54#1549#198#55
ليلة على الرباط ليذكر~90#4052#217#58
ليلة على الماء القراحوقال~90#4264#216#270
ليلة على كبة قال~87#3810#374#297
ليلة عند المأمون أمير~40#893#107#89
ليلة عند جعفر الخلدي~90#4487#92#502
ليلة عند شعوانة فنمت~41#1305#113#395
ليلة غاب شفقها إلا~87#3386#147#320
ليلة غفلت فيها عن~82#2602#67#237
ليلة فإن رزق مزيدا~87#3143#167#77
ليلة فإن صادفا قلبا~87#3482#274#416
ليلة فإن علم أن~87#3921#269#408
ليلة فالتزم على ميعاد~82#2150#118#237
ليلة فتقول دع هذا~14#160#63#69
ليلة فدخل معي في~90#4305#71#311
ليلة فراشا جديدا وكان~87#3497#360#431
ليلة فقلت الحمد لله~90#4267#218#273
ليلة فقمت إلى وردى~90#4278#64#284
ليلة فقمت إلى وردي~82#2737#38#372
ليلة فمررنا بأجمة فإذا~90#4354#54#369
ليلة فنظر إلى مصباح~87#3230#140#164,87#3230#305#164
ليلة فوقف إلى الصباح~90#4438#71#453
ليلة في أرض قفرة~87#3088#127#22
ليلة في السنة خمس~87#3180#18#114
ليلة في السنة وهي~87#3112#177#46
ليلة في المنام فقلت~90#4260#67#266
ليلة في المنام قائلا~90#4552#194#567
ليلة في اليقظة ببدنهويصدقون~39#738#99#57
ليلة في محرابي فمددت~41#980#65#69
ليلة في مسجد رسول~87#3176#84#110
ليلة في منامه أن~87#3084#24#18
ليلة في موضع فتذكرنا~90#4536#118#551
ليلة في نصف شهر~87#3790#108#277
ليلة قائما على شط~39#827#159#148
ليلة قدرت فيها الرحمة~82#2774#22#409
ليلة قط حتى أصبح~87#3136#66#70
ليلة قطعت مرحلة فإذا~87#3253#303#187
ليلة كاملة ولا أنى~90#4042#112#48
ليلة لا يشرب الماء~90#4265#124#271
ليلة لقصر أملهم كما~87#3839#73#326
ليلة لكثرة ما صببت~90#4516#197#531
ليلة ليلة إلا أنه~87#3921#154#408
ليلة ما ينفعني طعام~39#834#64#155
ليلة مات فيها داود~90#4550#279#565
ليلة مباركة * [الآية~82#2602#16#237
ليلة مباركة ثم وصفها~87#3180#213#114
ليلة مباركة ولم يدر~87#3166#415#100,87#3166#708#100
ليلة مرارا عند كل~87#3131#241#65
ليلة مرتين وثلاثا قال~87#3623#170#110
ليلة مع إبراهيم فانتبهت~41#1132#16#221
ليلة مع ابن مسعود~87#3230#414#164
ليلة مع الشبلي رحمه~90#4504#190#519
ليلة من آذار استوى~87#3112#207#46
ليلة من أكل حراما~87#3985#240#472
ليلة من أيلول استوى~87#3112#263#46
ليلة من الشهر فمن~27#334#75#32
ليلة من الكوة رغيفا~90#4520#233#535
ليلة من الليالي في~90#4396#78#411
ليلة من المسجد الحرام~82#2315#145#402
ليلة من شهر المحرم~87#3180#60#114
ليلة من شهر رجب~87#3180#67#114
ليلة من شهر رمضان~90#4499#124#514
ليلة منه يعدل قيام~87#3181#321#115
ليلة هذا لإيثاره الجوع~87#3797#62#284
ليلة هذه فقالوا ليلة~90#4550#276#565
ليلة هي فقال في~87#3166#420#100,87#3166#713#100
ليلة وروينا عن رسول~87#3930#29#417
ليلة وفي آخر ليلة~87#3937#187#424
ليلة وفي الحديث أيما~87#3860#3#347
ليلة وفي الخبر من~87#3838#282#325
ليلة وفي ليلة النصفيقال~87#3937#190#424
ليلة وقد قال بعض~87#3106#192#40
ليلة وكان نومه عليه~87#3133#319#67
ليلة وكنت عليه عشرين~90#4054#147#60
ليلة ولكن قد كان~87#3914#241#401
ليلة ولكن لا يفعلون~87#3629#242#116
ليلة ولي شيء ادخره~46#1508#208#80
ليلة وليكن قائما في~87#3081#92#15
ليلة وليلة وفي تفسير~87#3920#327#407
ليلة وما بتنا جياعا~82#2694#143#329
ليلة ومن فضل الفقير~87#3839#99#326
ليلة ويحتجم كل شهر~87#3547#53#34
ليلة ويقال إن في~87#3128#132#62
ليلة ويقول فيها إنه~87#3106#12#40
